,start_time,end_time,data_source,regressor_name,num_samples,num_skipped,reaction_count_mean,reaction_count_stdev,feature_generator,num_features,error
0,Thu May 18 17:38:58 2017,Thu May 18 17:51:48 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bigram_lemmatized_bow_250,250,0.11255989442613283
0,Thu May 18 17:39:01 2017,Thu May 18 17:43:47 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bigram_stemmed_bow_250,250,0.1117500936486326
0,Thu May 18 17:39:00 2017,Thu May 18 17:51:23 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_lemmatized_bow_250,250,0.10763319066548953
0,Thu May 18 17:38:58 2017,Thu May 18 17:40:44 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bigram_bow_1000,1000,0.11369757610232152
0,Thu May 18 17:39:01 2017,Thu May 18 17:44:03 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bigram_stemmed_bow_500,500,0.11120153807509096
0,Thu May 18 17:39:01 2017,Thu May 18 17:53:28 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_lemmatized_bow_1000,1000,0.11372099889898002
0,Thu May 18 17:38:58 2017,Thu May 18 17:44:48 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bigram_stemmed_bow_1000,1000,0.11291561024325618
0,Thu May 18 17:38:58 2017,Thu May 18 17:53:06 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bigram_lemmatized_bow_1000,1000,0.1132120528716709
0,Thu May 18 17:38:59 2017,Thu May 18 17:39:33 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bow_100,100,0.10781642367876204
0,Thu May 18 17:39:00 2017,Thu May 18 17:40:09 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bow_250,250,0.10785239093630213
0,Thu May 18 17:39:00 2017,Thu May 18 17:43:37 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_stemmed_bow_250,250,0.10705656618456563
0,Thu May 18 17:39:01 2017,Thu May 18 17:52:10 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_lemmatized_bow_100,100,0.10792987515308014
0,Thu May 18 17:39:01 2017,Thu May 18 17:51:46 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_lemmatized_bow_500,500,0.10767888566803263
0,Thu May 18 17:39:01 2017,Thu May 18 17:44:13 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_stemmed_bow_500,500,0.10832660129974056
0,Thu May 18 17:39:00 2017,Thu May 18 17:43:44 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bow_1000,1000,0.11181511317585152
